realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1980-03-01,47.9170
2019-12-23,2019-12-23,1980-04-01,46.8814
2019-12-23,2019-12-23,1980-05-01,45.4235
2019-12-23,2019-12-23,1980-06-01,44.7099
2019-12-23,2019-12-23,1980-07-01,44.1788
2019-12-23,2019-12-23,1980-08-01,44.5309
2019-12-23,2019-12-23,1980-09-01,45.2803
2019-12-23,2019-12-23,1980-10-01,46.1370
2019-12-23,2019-12-23,1980-11-01,47.0082
2019-12-23,2019-12-23,1980-12-01,47.1251
2019-12-23,2019-12-23,1981-01-01,46.9789
2019-12-23,2019-12-23,1981-02-01,46.7234
2019-12-23,2019-12-23,1981-03-01,46.8780
2019-12-23,2019-12-23,1981-04-01,47.1214
2019-12-23,2019-12-23,1981-05-01,47.3428
2019-12-23,2019-12-23,1981-06-01,47.0890
2019-12-23,2019-12-23,1981-07-01,47.1991
2019-12-23,2019-12-23,1981-08-01,47.2307
2019-12-23,2019-12-23,1981-09-01,46.9945
2019-12-23,2019-12-23,1981-10-01,46.5648
2019-12-23,2019-12-23,1981-11-01,45.9601
2019-12-23,2019-12-23,1981-12-01,45.1479
2019-12-23,2019-12-23,1982-01-01,44.0577
2019-12-23,2019-12-23,1982-02-01,45.2876
2019-12-23,2019-12-23,1982-03-01,44.8922
2019-12-23,2019-12-23,1982-04-01,44.5935
2019-12-23,2019-12-23,1982-05-01,44.5046
2019-12-23,2019-12-23,1982-06-01,44.4258
2019-12-23,2019-12-23,1982-07-01,44.3840
2019-12-23,2019-12-23,1982-08-01,43.9721
2019-12-23,2019-12-23,1982-09-01,43.8579
2019-12-23,2019-12-23,1982-10-01,43.3318
2019-12-23,2019-12-23,1982-11-01,43.0275
2019-12-23,2019-12-23,1982-12-01,42.8779
2019-12-23,2019-12-23,1983-01-01,43.9350
2019-12-23,2019-12-23,1983-02-01,43.9100
2019-12-23,2019-12-23,1983-03-01,44.3230
2019-12-23,2019-12-23,1983-04-01,44.8522
2019-12-23,2019-12-23,1983-05-01,45.4357
2019-12-23,2019-12-23,1983-06-01,45.8074
2019-12-23,2019-12-23,1983-07-01,46.5099
2019-12-23,2019-12-23,1983-08-01,46.8646
2019-12-23,2019-12-23,1983-09-01,47.7979
2019-12-23,2019-12-23,1983-10-01,48.3297
2019-12-23,2019-12-23,1983-11-01,48.5227
2019-12-23,2019-12-23,1983-12-01,48.6894
2019-12-23,2019-12-23,1984-01-01,49.5933
2019-12-23,2019-12-23,1984-02-01,50.1113
2019-12-23,2019-12-23,1984-03-01,50.3435
2019-12-23,2019-12-23,1984-04-01,50.6151
2019-12-23,2019-12-23,1984-05-01,50.7352
2019-12-23,2019-12-23,1984-06-01,50.9641
2019-12-23,2019-12-23,1984-07-01,51.1994
2019-12-23,2019-12-23,1984-08-01,51.2696
2019-12-23,2019-12-23,1984-09-01,51.1514
2019-12-23,2019-12-23,1984-10-01,51.3382
2019-12-23,2019-12-23,1984-11-01,51.5145
2019-12-23,2019-12-23,1984-12-01,51.6949
2019-12-23,2019-12-23,1985-01-01,51.4962
2019-12-23,2019-12-23,1985-02-01,51.2861
2019-12-23,2019-12-23,1985-03-01,51.6954
2019-12-23,2019-12-23,1985-04-01,51.4761
2019-12-23,2019-12-23,1985-05-01,51.5792
2019-12-23,2019-12-23,1985-06-01,51.6713
2019-12-23,2019-12-23,1985-07-01,51.3620
2019-12-23,2019-12-23,1985-08-01,51.6709
2019-12-23,2019-12-23,1985-09-01,51.7546
2019-12-23,2019-12-23,1985-10-01,51.6228
2019-12-23,2019-12-23,1985-11-01,51.9762
2019-12-23,2019-12-23,1985-12-01,52.1894
2019-12-23,2019-12-23,1986-01-01,52.7764
2019-12-23,2019-12-23,1986-02-01,52.5177
2019-12-23,2019-12-23,1986-03-01,52.3429
2019-12-23,2019-12-23,1986-04-01,52.4278
2019-12-23,2019-12-23,1986-05-01,52.5065
2019-12-23,2019-12-23,1986-06-01,52.3386
2019-12-23,2019-12-23,1986-07-01,52.5960
2019-12-23,2019-12-23,1986-08-01,52.7786
2019-12-23,2019-12-23,1986-09-01,52.8888
2019-12-23,2019-12-23,1986-10-01,53.1030
2019-12-23,2019-12-23,1986-11-01,53.3482
2019-12-23,2019-12-23,1986-12-01,53.8107
2019-12-23,2019-12-23,1987-01-01,53.6536
2019-12-23,2019-12-23,1987-02-01,54.4452
2019-12-23,2019-12-23,1987-03-01,54.4534
2019-12-23,2019-12-23,1987-04-01,54.7748
2019-12-23,2019-12-23,1987-05-01,55.1747
2019-12-23,2019-12-23,1987-06-01,55.3428
2019-12-23,2019-12-23,1987-07-01,55.7812
2019-12-23,2019-12-23,1987-08-01,56.1368
2019-12-23,2019-12-23,1987-09-01,56.4611
2019-12-23,2019-12-23,1987-10-01,57.4082
2019-12-23,2019-12-23,1987-11-01,57.7166
2019-12-23,2019-12-23,1987-12-01,58.1042
2019-12-23,2019-12-23,1988-01-01,57.9924
2019-12-23,2019-12-23,1988-02-01,58.1557
2019-12-23,2019-12-23,1988-03-01,58.3202
2019-12-23,2019-12-23,1988-04-01,58.8554
2019-12-23,2019-12-23,1988-05-01,58.7725
2019-12-23,2019-12-23,1988-06-01,58.8916
2019-12-23,2019-12-23,1988-07-01,58.8906
2019-12-23,2019-12-23,1988-08-01,58.9298
2019-12-23,2019-12-23,1988-09-01,59.1542
2019-12-23,2019-12-23,1988-10-01,59.4375
2019-12-23,2019-12-23,1988-11-01,59.6170
2019-12-23,2019-12-23,1988-12-01,59.8984
2019-12-23,2019-12-23,1989-01-01,60.4296
2019-12-23,2019-12-23,1989-02-01,59.8019
2019-12-23,2019-12-23,1989-03-01,59.7103
2019-12-23,2019-12-23,1989-04-01,59.8829
2019-12-23,2019-12-23,1989-05-01,59.3188
2019-12-23,2019-12-23,1989-06-01,59.4684
2019-12-23,2019-12-23,1989-07-01,58.7731
2019-12-23,2019-12-23,1989-08-01,59.3324
2019-12-23,2019-12-23,1989-09-01,59.1950
2019-12-23,2019-12-23,1989-10-01,59.0825
2019-12-23,2019-12-23,1989-11-01,59.2000
2019-12-23,2019-12-23,1989-12-01,59.2547
2019-12-23,2019-12-23,1990-01-01,59.1036
2019-12-23,2019-12-23,1990-02-01,59.9806
2019-12-23,2019-12-23,1990-03-01,60.3056
2019-12-23,2019-12-23,1990-04-01,60.1280
2019-12-23,2019-12-23,1990-05-01,60.2545
2019-12-23,2019-12-23,1990-06-01,60.4462
2019-12-23,2019-12-23,1990-07-01,60.3271
2019-12-23,2019-12-23,1990-08-01,60.5285
2019-12-23,2019-12-23,1990-09-01,60.5278
2019-12-23,2019-12-23,1990-10-01,60.0276
2019-12-23,2019-12-23,1990-11-01,59.3613
2019-12-23,2019-12-23,1990-12-01,58.9058
2019-12-23,2019-12-23,1991-01-01,58.4688
2019-12-23,2019-12-23,1991-02-01,58.0592
2019-12-23,2019-12-23,1991-03-01,57.6839
2019-12-23,2019-12-23,1991-04-01,57.8920
2019-12-23,2019-12-23,1991-05-01,58.3074
2019-12-23,2019-12-23,1991-06-01,58.9545
2019-12-23,2019-12-23,1991-07-01,59.1819
2019-12-23,2019-12-23,1991-08-01,59.2815
2019-12-23,2019-12-23,1991-09-01,59.9636
2019-12-23,2019-12-23,1991-10-01,59.8460
2019-12-23,2019-12-23,1991-11-01,59.7398
2019-12-23,2019-12-23,1991-12-01,59.6458
2019-12-23,2019-12-23,1992-01-01,59.2972
2019-12-23,2019-12-23,1992-02-01,59.8786
2019-12-23,2019-12-23,1992-03-01,60.5043
2019-12-23,2019-12-23,1992-04-01,60.8433
2019-12-23,2019-12-23,1992-05-01,61.2039
2019-12-23,2019-12-23,1992-06-01,61.3837
2019-12-23,2019-12-23,1992-07-01,61.9549
2019-12-23,2019-12-23,1992-08-01,61.7120
2019-12-23,2019-12-23,1992-09-01,61.7623
2019-12-23,2019-12-23,1992-10-01,62.1890
2019-12-23,2019-12-23,1992-11-01,62.4617
2019-12-23,2019-12-23,1992-12-01,62.3824
2019-12-23,2019-12-23,1993-01-01,62.9777
2019-12-23,2019-12-23,1993-02-01,63.1205
2019-12-23,2019-12-23,1993-03-01,62.9613
2019-12-23,2019-12-23,1993-04-01,63.3304
2019-12-23,2019-12-23,1993-05-01,63.2861
2019-12-23,2019-12-23,1993-06-01,63.1485
2019-12-23,2019-12-23,1993-07-01,63.3449
2019-12-23,2019-12-23,1993-08-01,63.2551
2019-12-23,2019-12-23,1993-09-01,63.6841
2019-12-23,2019-12-23,1993-10-01,64.2618
2019-12-23,2019-12-23,1993-11-01,64.5247
2019-12-23,2019-12-23,1993-12-01,64.9290
2019-12-23,2019-12-23,1994-01-01,65.0425
2019-12-23,2019-12-23,1994-02-01,65.1383
2019-12-23,2019-12-23,1994-03-01,66.0163
2019-12-23,2019-12-23,1994-04-01,66.5980
2019-12-23,2019-12-23,1994-05-01,67.0655
2019-12-23,2019-12-23,1994-06-01,67.2836
2019-12-23,2019-12-23,1994-07-01,67.5994
2019-12-23,2019-12-23,1994-08-01,68.1100
2019-12-23,2019-12-23,1994-09-01,68.4357
2019-12-23,2019-12-23,1994-10-01,69.1652
2019-12-23,2019-12-23,1994-11-01,69.7038
2019-12-23,2019-12-23,1994-12-01,70.5043
2019-12-23,2019-12-23,1995-01-01,70.6387
2019-12-23,2019-12-23,1995-02-01,70.4169
2019-12-23,2019-12-23,1995-03-01,70.6021
2019-12-23,2019-12-23,1995-04-01,70.4978
2019-12-23,2019-12-23,1995-05-01,70.6342
2019-12-23,2019-12-23,1995-06-01,70.9778
2019-12-23,2019-12-23,1995-07-01,70.5183
2019-12-23,2019-12-23,1995-08-01,71.3402
2019-12-23,2019-12-23,1995-09-01,71.9957
2019-12-23,2019-12-23,1995-10-01,71.9761
2019-12-23,2019-12-23,1995-11-01,72.0518
2019-12-23,2019-12-23,1995-12-01,72.3734
2019-12-23,2019-12-23,1996-01-01,71.8221
2019-12-23,2019-12-23,1996-02-01,72.9624
2019-12-23,2019-12-23,1996-03-01,72.8277
2019-12-23,2019-12-23,1996-04-01,73.6724
2019-12-23,2019-12-23,1996-05-01,74.2509
2019-12-23,2019-12-23,1996-06-01,75.0801
2019-12-23,2019-12-23,1996-07-01,75.3099
2019-12-23,2019-12-23,1996-08-01,75.6905
2019-12-23,2019-12-23,1996-09-01,76.3588
2019-12-23,2019-12-23,1996-10-01,76.2262
2019-12-23,2019-12-23,1996-11-01,76.8844
2019-12-23,2019-12-23,1996-12-01,77.5520
2019-12-23,2019-12-23,1997-01-01,77.5975
2019-12-23,2019-12-23,1997-02-01,78.6953
2019-12-23,2019-12-23,1997-03-01,79.5234
2019-12-23,2019-12-23,1997-04-01,79.3662
2019-12-23,2019-12-23,1997-05-01,79.9622
2019-12-23,2019-12-23,1997-06-01,80.4694
2019-12-23,2019-12-23,1997-07-01,80.9998
2019-12-23,2019-12-23,1997-08-01,82.0621
2019-12-23,2019-12-23,1997-09-01,82.7651
2019-12-23,2019-12-23,1997-10-01,83.4751
2019-12-23,2019-12-23,1997-11-01,84.4229
2019-12-23,2019-12-23,1997-12-01,84.7854
2019-12-23,2019-12-23,1998-01-01,85.5471
2019-12-23,2019-12-23,1998-02-01,85.6192
2019-12-23,2019-12-23,1998-03-01,85.4651
2019-12-23,2019-12-23,1998-04-01,85.8713
2019-12-23,2019-12-23,1998-05-01,86.3207
2019-12-23,2019-12-23,1998-06-01,85.6107
2019-12-23,2019-12-23,1998-07-01,85.2135
2019-12-23,2019-12-23,1998-08-01,87.3819
2019-12-23,2019-12-23,1998-09-01,87.2288
2019-12-23,2019-12-23,1998-10-01,88.0891
2019-12-23,2019-12-23,1998-11-01,88.2099
2019-12-23,2019-12-23,1998-12-01,88.7347
2019-12-23,2019-12-23,1999-01-01,89.0222
2019-12-23,2019-12-23,1999-02-01,89.8085
2019-12-23,2019-12-23,1999-03-01,89.7260
2019-12-23,2019-12-23,1999-04-01,90.1186
2019-12-23,2019-12-23,1999-05-01,90.9226
2019-12-23,2019-12-23,1999-06-01,90.6341
2019-12-23,2019-12-23,1999-07-01,91.1014
2019-12-23,2019-12-23,1999-08-01,91.5614
2019-12-23,2019-12-23,1999-09-01,91.1328
2019-12-23,2019-12-23,1999-10-01,92.5699
2019-12-23,2019-12-23,1999-11-01,93.1388
2019-12-23,2019-12-23,1999-12-01,93.7921
2019-12-23,2019-12-23,2000-01-01,93.9362
2019-12-23,2019-12-23,2000-02-01,94.1856
2019-12-23,2019-12-23,2000-03-01,94.7846
2019-12-23,2019-12-23,2000-04-01,95.5101
2019-12-23,2019-12-23,2000-05-01,95.4405
2019-12-23,2019-12-23,2000-06-01,95.6260
2019-12-23,2019-12-23,2000-07-01,95.7409
2019-12-23,2019-12-23,2000-08-01,95.1187
2019-12-23,2019-12-23,2000-09-01,95.5655
2019-12-23,2019-12-23,2000-10-01,95.3433
2019-12-23,2019-12-23,2000-11-01,95.1024
2019-12-23,2019-12-23,2000-12-01,94.5845
2019-12-23,2019-12-23,2001-01-01,94.0393
2019-12-23,2019-12-23,2001-02-01,93.5367
2019-12-23,2019-12-23,2001-03-01,93.3766
2019-12-23,2019-12-23,2001-04-01,93.0356
2019-12-23,2019-12-23,2001-05-01,92.3696
2019-12-23,2019-12-23,2001-06-01,91.7370
2019-12-23,2019-12-23,2001-07-01,91.2379
2019-12-23,2019-12-23,2001-08-01,90.8605
2019-12-23,2019-12-23,2001-09-01,90.6639
2019-12-23,2019-12-23,2001-10-01,90.1331
2019-12-23,2019-12-23,2001-11-01,89.9311
2019-12-23,2019-12-23,2001-12-01,90.1646
2019-12-23,2019-12-23,2002-01-01,90.7311
2019-12-23,2019-12-23,2002-02-01,90.7307
2019-12-23,2019-12-23,2002-03-01,91.5183
2019-12-23,2019-12-23,2002-04-01,91.7507
2019-12-23,2019-12-23,2002-05-01,92.2593
2019-12-23,2019-12-23,2002-06-01,93.3528
2019-12-23,2019-12-23,2002-07-01,93.0044
2019-12-23,2019-12-23,2002-08-01,93.2330
2019-12-23,2019-12-23,2002-09-01,93.3635
2019-12-23,2019-12-23,2002-10-01,93.0256
2019-12-23,2019-12-23,2002-11-01,93.4885
2019-12-23,2019-12-23,2002-12-01,92.9180
2019-12-23,2019-12-23,2003-01-01,93.6423
2019-12-23,2019-12-23,2003-02-01,93.5578
2019-12-23,2019-12-23,2003-03-01,93.7146
2019-12-23,2019-12-23,2003-04-01,92.9569
2019-12-23,2019-12-23,2003-05-01,93.0610
2019-12-23,2019-12-23,2003-06-01,93.5406
2019-12-23,2019-12-23,2003-07-01,93.8282
2019-12-23,2019-12-23,2003-08-01,93.5475
2019-12-23,2019-12-23,2003-09-01,94.3123
2019-12-23,2019-12-23,2003-10-01,94.4027
2019-12-23,2019-12-23,2003-11-01,95.3834
2019-12-23,2019-12-23,2003-12-01,95.1734
2019-12-23,2019-12-23,2004-01-01,95.2003
2019-12-23,2019-12-23,2004-02-01,95.9019
2019-12-23,2019-12-23,2004-03-01,95.7359
2019-12-23,2019-12-23,2004-04-01,96.1117
2019-12-23,2019-12-23,2004-05-01,96.8749
2019-12-23,2019-12-23,2004-06-01,96.0901
2019-12-23,2019-12-23,2004-07-01,96.9635
2019-12-23,2019-12-23,2004-08-01,97.4053
2019-12-23,2019-12-23,2004-09-01,97.4501
2019-12-23,2019-12-23,2004-10-01,98.5564
2019-12-23,2019-12-23,2004-11-01,98.5002
2019-12-23,2019-12-23,2004-12-01,99.2488
2019-12-23,2019-12-23,2005-01-01,99.9993
2019-12-23,2019-12-23,2005-02-01,100.9049
2019-12-23,2019-12-23,2005-03-01,100.3947
2019-12-23,2019-12-23,2005-04-01,100.7643
2019-12-23,2019-12-23,2005-05-01,101.0644
2019-12-23,2019-12-23,2005-06-01,101.2541
2019-12-23,2019-12-23,2005-07-01,100.8936
2019-12-23,2019-12-23,2005-08-01,101.3754
2019-12-23,2019-12-23,2005-09-01,100.3022
2019-12-23,2019-12-23,2005-10-01,101.8829
2019-12-23,2019-12-23,2005-11-01,102.7324
2019-12-23,2019-12-23,2005-12-01,102.9308
2019-12-23,2019-12-23,2006-01-01,103.7581
2019-12-23,2019-12-23,2006-02-01,103.4000
2019-12-23,2019-12-23,2006-03-01,103.3013
2019-12-23,2019-12-23,2006-04-01,103.8212
2019-12-23,2019-12-23,2006-05-01,103.4292
2019-12-23,2019-12-23,2006-06-01,103.8678
2019-12-23,2019-12-23,2006-07-01,103.6120
2019-12-23,2019-12-23,2006-08-01,104.3946
2019-12-23,2019-12-23,2006-09-01,104.4833
2019-12-23,2019-12-23,2006-10-01,104.0797
2019-12-23,2019-12-23,2006-11-01,104.1417
2019-12-23,2019-12-23,2006-12-01,105.7484
2019-12-23,2019-12-23,2007-01-01,105.1816
2019-12-23,2019-12-23,2007-02-01,105.6138
2019-12-23,2019-12-23,2007-03-01,106.6050
2019-12-23,2019-12-23,2007-04-01,107.3444
2019-12-23,2019-12-23,2007-05-01,107.2842
2019-12-23,2019-12-23,2007-06-01,107.6883
2019-12-23,2019-12-23,2007-07-01,107.8331
2019-12-23,2019-12-23,2007-08-01,107.5694
2019-12-23,2019-12-23,2007-09-01,108.1094
2019-12-23,2019-12-23,2007-10-01,107.7768
2019-12-23,2019-12-23,2007-11-01,108.4352
2019-12-23,2019-12-23,2007-12-01,108.5858
2019-12-23,2019-12-23,2008-01-01,108.1717
2019-12-23,2019-12-23,2008-02-01,107.4650
2019-12-23,2019-12-23,2008-03-01,107.1702
2019-12-23,2019-12-23,2008-04-01,105.9815
2019-12-23,2019-12-23,2008-05-01,105.4636
2019-12-23,2019-12-23,2008-06-01,104.7522
2019-12-23,2019-12-23,2008-07-01,103.4955
2019-12-23,2019-12-23,2008-08-01,102.2059
2019-12-23,2019-12-23,2008-09-01,98.5396
2019-12-23,2019-12-23,2008-10-01,98.0020
2019-12-23,2019-12-23,2008-11-01,95.6481
2019-12-23,2019-12-23,2008-12-01,92.2691
2019-12-23,2019-12-23,2009-01-01,89.4332
2019-12-23,2019-12-23,2009-02-01,89.3913
2019-12-23,2019-12-23,2009-03-01,87.8070
2019-12-23,2019-12-23,2009-04-01,87.2371
2019-12-23,2019-12-23,2009-05-01,86.3136
2019-12-23,2019-12-23,2009-06-01,86.0265
2019-12-23,2019-12-23,2009-07-01,87.4112
2019-12-23,2019-12-23,2009-08-01,88.4647
2019-12-23,2019-12-23,2009-09-01,89.2561
2019-12-23,2019-12-23,2009-10-01,89.3968
2019-12-23,2019-12-23,2009-11-01,90.3186
2019-12-23,2019-12-23,2009-12-01,90.1551
2019-12-23,2019-12-23,2010-01-01,91.2764
2019-12-23,2019-12-23,2010-02-01,91.3081
2019-12-23,2019-12-23,2010-03-01,92.4616
2019-12-23,2019-12-23,2010-04-01,93.3099
2019-12-23,2019-12-23,2010-05-01,94.6419
2019-12-23,2019-12-23,2010-06-01,94.5285
2019-12-23,2019-12-23,2010-07-01,95.1146
2019-12-23,2019-12-23,2010-08-01,95.2587
2019-12-23,2019-12-23,2010-09-01,95.2835
2019-12-23,2019-12-23,2010-10-01,95.3587
2019-12-23,2019-12-23,2010-11-01,95.3965
2019-12-23,2019-12-23,2010-12-01,95.8656
2019-12-23,2019-12-23,2011-01-01,96.0682
2019-12-23,2019-12-23,2011-02-01,96.2263
2019-12-23,2019-12-23,2011-03-01,96.8409
2019-12-23,2019-12-23,2011-04-01,96.2790
2019-12-23,2019-12-23,2011-05-01,96.4175
2019-12-23,2019-12-23,2011-06-01,96.5405
2019-12-23,2019-12-23,2011-07-01,97.1629
2019-12-23,2019-12-23,2011-08-01,97.5230
2019-12-23,2019-12-23,2011-09-01,97.8561
2019-12-23,2019-12-23,2011-10-01,98.3927
2019-12-23,2019-12-23,2011-11-01,98.1202
2019-12-23,2019-12-23,2011-12-01,98.8168
2019-12-23,2019-12-23,2012-01-01,99.7093
2019-12-23,2019-12-23,2012-02-01,100.0380
2019-12-23,2019-12-23,2012-03-01,99.5860
2019-12-23,2019-12-23,2012-04-01,100.1877
2019-12-23,2019-12-23,2012-05-01,99.8458
2019-12-23,2019-12-23,2012-06-01,100.1427
2019-12-23,2019-12-23,2012-07-01,100.0497
2019-12-23,2019-12-23,2012-08-01,99.8597
2019-12-23,2019-12-23,2012-09-01,99.8234
2019-12-23,2019-12-23,2012-10-01,99.4857
2019-12-23,2019-12-23,2012-11-01,100.2198
2019-12-23,2019-12-23,2012-12-01,101.0522
2019-12-23,2019-12-23,2013-01-01,100.7283
2019-12-23,2019-12-23,2013-02-01,101.2369
2019-12-23,2019-12-23,2013-03-01,101.1590
2019-12-23,2019-12-23,2013-04-01,100.7622
2019-12-23,2019-12-23,2013-05-01,101.0469
2019-12-23,2019-12-23,2013-06-01,101.3055
2019-12-23,2019-12-23,2013-07-01,100.2932
2019-12-23,2019-12-23,2013-08-01,101.1950
2019-12-23,2019-12-23,2013-09-01,101.2834
2019-12-23,2019-12-23,2013-10-01,101.4163
2019-12-23,2019-12-23,2013-11-01,101.4165
2019-12-23,2019-12-23,2013-12-01,101.3819
2019-12-23,2019-12-23,2014-01-01,100.1818
2019-12-23,2019-12-23,2014-02-01,101.2442
2019-12-23,2019-12-23,2014-03-01,102.1360
2019-12-23,2019-12-23,2014-04-01,101.9852
2019-12-23,2019-12-23,2014-05-01,102.2936
2019-12-23,2019-12-23,2014-06-01,102.6556
2019-12-23,2019-12-23,2014-07-01,103.1470
2019-12-23,2019-12-23,2014-08-01,102.6082
2019-12-23,2019-12-23,2014-09-01,102.6413
2019-12-23,2019-12-23,2014-10-01,102.5636
2019-12-23,2019-12-23,2014-11-01,103.4288
2019-12-23,2019-12-23,2014-12-01,103.1127
2019-12-23,2019-12-23,2015-01-01,102.6770
2019-12-23,2019-12-23,2015-02-01,101.9570
2019-12-23,2019-12-23,2015-03-01,102.2630
2019-12-23,2019-12-23,2015-04-01,102.1316
2019-12-23,2019-12-23,2015-05-01,102.0859
2019-12-23,2019-12-23,2015-06-01,101.6587
2019-12-23,2019-12-23,2015-07-01,102.3230
2019-12-23,2019-12-23,2015-08-01,102.0213
2019-12-23,2019-12-23,2015-09-01,101.6204
2019-12-23,2019-12-23,2015-10-01,101.5941
2019-12-23,2019-12-23,2015-11-01,101.2991
2019-12-23,2019-12-23,2015-12-01,100.9993
2019-12-23,2019-12-23,2016-01-01,101.7060
2019-12-23,2019-12-23,2016-02-01,101.1106
2019-12-23,2019-12-23,2016-03-01,100.9595
