realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1947-12-01,7.2850
2019-12-23,2019-12-23,1948-01-01,7.6467
2019-12-23,2019-12-23,1948-02-01,7.4659
2019-12-23,2019-12-23,1948-03-01,7.4917
2019-12-23,2019-12-23,1948-04-01,7.3367
2019-12-23,2019-12-23,1948-05-01,7.1817
2019-12-23,2019-12-23,1948-06-01,7.2334
2019-12-23,2019-12-23,1948-07-01,7.2850
2019-12-23,2019-12-23,1948-08-01,7.4659
2019-12-23,2019-12-23,1948-09-01,7.5950
2019-12-23,2019-12-23,1948-10-01,7.6725
2019-12-23,2019-12-23,1948-11-01,7.7759
2019-12-23,2019-12-23,1948-12-01,8.0859
2019-12-23,2019-12-23,1949-01-01,8.2667
2019-12-23,2019-12-23,1949-02-01,8.0859
2019-12-23,2019-12-23,1949-03-01,7.9825
2019-12-23,2019-12-23,1949-04-01,7.8017
2019-12-23,2019-12-23,1949-05-01,7.6467
2019-12-23,2019-12-23,1949-06-01,7.6984
2019-12-23,2019-12-23,1949-07-01,7.8017
2019-12-23,2019-12-23,1949-08-01,7.9825
2019-12-23,2019-12-23,1949-09-01,8.0600
2019-12-23,2019-12-23,1949-10-01,8.0084
2019-12-23,2019-12-23,1949-11-01,8.2150
2019-12-23,2019-12-23,1949-12-01,8.6800
2019-12-23,2019-12-23,1950-01-01,9.0934
2019-12-23,2019-12-23,1950-02-01,8.8867
2019-12-23,2019-12-23,1950-03-01,8.9384
2019-12-23,2019-12-23,1950-04-01,8.8350
2019-12-23,2019-12-23,1950-05-01,8.8092
2019-12-23,2019-12-23,1950-06-01,8.8867
2019-12-23,2019-12-23,1950-07-01,8.9125
2019-12-23,2019-12-23,1950-08-01,9.1192
2019-12-23,2019-12-23,1950-09-01,9.2484
2019-12-23,2019-12-23,1950-10-01,9.4034
2019-12-23,2019-12-23,1950-11-01,9.5325
2019-12-23,2019-12-23,1950-12-01,9.8684
2019-12-23,2019-12-23,1951-01-01,10.4367
2019-12-23,2019-12-23,1951-02-01,10.2817
2019-12-23,2019-12-23,1951-03-01,10.2817
2019-12-23,2019-12-23,1951-04-01,10.2559
2019-12-23,2019-12-23,1951-05-01,10.0492
