realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1978-05-01,136.7192
2019-12-23,2019-12-23,1978-06-01,136.7934
2019-12-23,2019-12-23,1978-07-01,135.5938
2019-12-23,2019-12-23,1978-08-01,135.5861
2019-12-23,2019-12-23,1978-09-01,136.2447
2019-12-23,2019-12-23,1978-10-01,136.5200
2019-12-23,2019-12-23,1978-11-01,135.2651
2019-12-23,2019-12-23,1978-12-01,134.0335
2019-12-23,2019-12-23,1979-01-01,131.0791
2019-12-23,2019-12-23,1979-02-01,131.9905
2019-12-23,2019-12-23,1979-03-01,133.0715
2019-12-23,2019-12-23,1979-04-01,132.3053
2019-12-23,2019-12-23,1979-05-01,133.0506
2019-12-23,2019-12-23,1979-06-01,130.5093
2019-12-23,2019-12-23,1979-07-01,129.2416
2019-12-23,2019-12-23,1979-08-01,132.0786
2019-12-23,2019-12-23,1979-09-01,131.6927
2019-12-23,2019-12-23,1979-10-01,133.1563
2019-12-23,2019-12-23,1979-11-01,135.1419
2019-12-23,2019-12-23,1979-12-01,132.9801
2019-12-23,2019-12-23,1980-01-01,133.7821
2019-12-23,2019-12-23,1980-02-01,134.2252
2019-12-23,2019-12-23,1980-03-01,134.0949
2019-12-23,2019-12-23,1980-04-01,133.8044
2019-12-23,2019-12-23,1980-05-01,133.1035
2019-12-23,2019-12-23,1980-06-01,131.8164
2019-12-23,2019-12-23,1980-07-01,131.7260
2019-12-23,2019-12-23,1980-08-01,129.5817
2019-12-23,2019-12-23,1980-09-01,132.8186
2019-12-23,2019-12-23,1980-10-01,131.4854
2019-12-23,2019-12-23,1980-11-01,130.9197
2019-12-23,2019-12-23,1980-12-01,132.5945
2019-12-23,2019-12-23,1981-01-01,131.5630
2019-12-23,2019-12-23,1981-02-01,132.5311
2019-12-23,2019-12-23,1981-03-01,132.6801
2019-12-23,2019-12-23,1981-04-01,131.7973
2019-12-23,2019-12-23,1981-05-01,130.9452
2019-12-23,2019-12-23,1981-06-01,132.8242
2019-12-23,2019-12-23,1981-07-01,130.8370
2019-12-23,2019-12-23,1981-08-01,132.1207
2019-12-23,2019-12-23,1981-09-01,132.4483
2019-12-23,2019-12-23,1981-10-01,131.8159
2019-12-23,2019-12-23,1981-11-01,132.1067
2019-12-23,2019-12-23,1981-12-01,132.0911
2019-12-23,2019-12-23,1982-01-01,130.7737
2019-12-23,2019-12-23,1982-02-01,133.7703
2019-12-23,2019-12-23,1982-03-01,133.2834
2019-12-23,2019-12-23,1982-04-01,132.1006
2019-12-23,2019-12-23,1982-05-01,133.4611
2019-12-23,2019-12-23,1982-06-01,132.9191
2019-12-23,2019-12-23,1982-07-01,133.0023
2019-12-23,2019-12-23,1982-08-01,132.6283
2019-12-23,2019-12-23,1982-09-01,133.6877
2019-12-23,2019-12-23,1982-10-01,133.6646
2019-12-23,2019-12-23,1982-11-01,133.6690
2019-12-23,2019-12-23,1982-12-01,132.1115
2019-12-23,2019-12-23,1983-01-01,133.5437
2019-12-23,2019-12-23,1983-02-01,134.5148
2019-12-23,2019-12-23,1983-03-01,133.6132
2019-12-23,2019-12-23,1983-04-01,134.7478
2019-12-23,2019-12-23,1983-05-01,132.5494
2019-12-23,2019-12-23,1983-06-01,133.0862
2019-12-23,2019-12-23,1983-07-01,132.5902
2019-12-23,2019-12-23,1983-08-01,133.1731
2019-12-23,2019-12-23,1983-09-01,134.7818
2019-12-23,2019-12-23,1983-10-01,134.5566
2019-12-23,2019-12-23,1983-11-01,134.5799
2019-12-23,2019-12-23,1983-12-01,128.7523
